Date	bpm
2017/7/11	39
2017/7/12	80
2017/7/15	80
2017/7/16	80
2017/7/17	80
2017/7/18	80
2017/7/19	81
2017/7/20	81
2017/7/21	80
2017/7/22	80
2017/7/24	70
2017/7/25	75
2017/7/26	57
2017/7/27	60
2017/7/28	64
2017/7/29	64
2017/7/30	64
2017/7/31	64
2017/8/1	30
2017/8/2	60
