Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Data,8,record,timestamp,"867657785",s,distance,"0.0",m,altitude,"963.0",m,speed,"0.0",m/s,unknown,"0",,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.0",m,enhanced_speed,"0.0",m/s,
Data,9,record,timestamp,"867657788",s,distance,"0.0",m,altitude,"963.4000000000001",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"91",bpm,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.4000000000001",m,enhanced_speed,"0.0",m/s,
Data,9,record,timestamp,"867657789",s,distance,"0.0",m,altitude,"963.5999999999999",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"91",bpm,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.5999999999999",m,enhanced_speed,"0.0",m/s,
Data,9,record,timestamp,"867657790",s,distance,"0.0",m,altitude,"963.5999999999999",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"92",bpm,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.5999999999999",m,enhanced_speed,"0.0",m/s,
Data,9,record,timestamp,"867657793",s,distance,"0.0",m,altitude,"963.4000000000001",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"88",bpm,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.4000000000001",m,enhanced_speed,"0.0",m/s,
Data,9,record,timestamp,"867657794",s,distance,"0.0",m,altitude,"963.4000000000001",m,speed,"0.0",m/s,unknown,"0",,unknown,"100",,heart_rate,"87",bpm,cadence,"0",rpm,temperature,"29",C,fractional_cadence,"0.0",rpm,enhanced_altitude,"963.4000000000001",m,enhanced_speed,"0.0",m/s,
